Authors,Year,title,DOI,Filter_3,Approach,Subapproach,temperature,growth_rate,vi,n_1,order,family,genus,species,feeding_guild,h_p_family,diet_family,RH,daylength,lat,lon,sd_treat,id,sd_median
"Soh, BSB; Kekeunou, S; Nanga, SN; Dongmo, M; Rachid, H",2018,Effect of temperature on the biological parameters of the cabbage aphid Brevicoryne brassicae,10.1002/ece3.4639,yes,experimental,laboratory,20,0.11,0.003,86,Hemiptera,Aphididae,Brevicoryne,brassicae,sucker,Brassicaceae,Brassicaceae,75,12,5.4469900000000004,10.05331,0.027820855486487113,15,0.027820855486487113
"Soh, BSB; Kekeunou, S; Nanga, SN; Dongmo, M; Rachid, H",2018,Effect of temperature on the biological parameters of the cabbage aphid Brevicoryne brassicae,10.1002/ece3.4639,yes,experimental,laboratory,25,0.224,0.007,73,Hemiptera,Aphididae,Brevicoryne,brassicae,sucker,Brassicaceae,Brassicaceae,75,12,5.4469900000000004,10.05331,0.05980802621722271,15,0.027820855486487113
"Soh, BSB; Kekeunou, S; Nanga, SN; Dongmo, M; Rachid, H",2018,Effect of temperature on the biological parameters of the cabbage aphid Brevicoryne brassicae,10.1002/ece3.4639,yes,experimental,laboratory,30,0,0.014,4,Hemiptera,Aphididae,Brevicoryne,brassicae,sucker,Brassicaceae,Brassicaceae,75,12,5.4469900000000004,10.05331,0.028,15,0.027820855486487113
"Qin, JY; Liu, YQ; Zhang, L; Cheng, YX; Luo, LZ; Jiang, XF",2018,"Effects of temperatures on the development and reproduction of the armyworm, Mythimna roseilinea: Analysis using an age-stage, two-sex life table",10.1016/S2095-3119(17)61856-2,yes,experimental,laboratory,18,0.031,0.001,19,Lepidoptera,Noctuidae,Mythimna,roseilinea,chewer,Poaceae,Poaceae,70,14,39.92646,116.17955,0.004358898943540674,16,0.009591663046625438
"Qin, JY; Liu, YQ; Zhang, L; Cheng, YX; Luo, LZ; Jiang, XF",2018,"Effects of temperatures on the development and reproduction of the armyworm, Mythimna roseilinea: Analysis using an age-stage, two-sex life table",10.1016/S2095-3119(17)61856-2,yes,experimental,laboratory,21,0.059,0.002,26,Lepidoptera,Noctuidae,Mythimna,roseilinea,chewer,Poaceae,Poaceae,70,14,39.92646,116.17955,0.010198039027185569,16,0.009591663046625438
"Qin, JY; Liu, YQ; Zhang, L; Cheng, YX; Luo, LZ; Jiang, XF",2018,"Effects of temperatures on the development and reproduction of the armyworm, Mythimna roseilinea: Analysis using an age-stage, two-sex life table",10.1016/S2095-3119(17)61856-2,yes,experimental,laboratory,24,0.078,0.001,27,Lepidoptera,Noctuidae,Mythimna,roseilinea,chewer,Poaceae,Poaceae,70,14,39.92646,116.17955,0.005196152422706632,16,0.009591663046625438
"Qin, JY; Liu, YQ; Zhang, L; Cheng, YX; Luo, LZ; Jiang, XF",2018,"Effects of temperatures on the development and reproduction of the armyworm, Mythimna roseilinea: Analysis using an age-stage, two-sex life table",10.1016/S2095-3119(17)61856-2,yes,experimental,laboratory,27,0.087,0.002,23,Lepidoptera,Noctuidae,Mythimna,roseilinea,chewer,Poaceae,Poaceae,70,14,39.92646,116.17955,0.009591663046625438,16,0.009591663046625438
"Qin, JY; Liu, YQ; Zhang, L; Cheng, YX; Luo, LZ; Jiang, XF",2018,"Effects of temperatures on the development and reproduction of the armyworm, Mythimna roseilinea: Analysis using an age-stage, two-sex life table",10.1016/S2095-3119(17)61856-2,yes,experimental,laboratory,30,0.1,0.003,17,Lepidoptera,Noctuidae,Mythimna,roseilinea,chewer,Poaceae,Poaceae,70,14,39.92646,116.17955,0.012369316876852983,16,0.009591663046625438
"Li, BL; Xu, XL; Ji, JY; Wu, JX",2018,"Effects of constant and stage-specific-alternating temperature on the survival, development and reproduction of the oriental armyworm, Mythimna separata (Walker) (Lepidoptera: Noctuidae)",10.1016/S2095-3119(17)61841-0,yes,experimental,laboratory,20,0.0865,0.0029,21,Lepidoptera,Noctuidae,Mythimna,roseilinea,chewer,Malvaceae,Poaceae,75,14,34.29937,108.48306,0.013289469515371934,17,0.018703742940919605
"Li, BL; Xu, XL; Ji, JY; Wu, JX",2018,"Effects of constant and stage-specific-alternating temperature on the survival, development and reproduction of the oriental armyworm, Mythimna separata (Walker) (Lepidoptera: Noctuidae)",10.1016/S2095-3119(17)61841-0,yes,experimental,laboratory,25,0.2438,0.0039,23,Lepidoptera,Noctuidae,Mythimna,roseilinea,chewer,Malvaceae,Poaceae,75,14,34.29937,108.48306,0.018703742940919605,17,0.018703742940919605
"Li, BL; Xu, XL; Ji, JY; Wu, JX",2018,"Effects of constant and stage-specific-alternating temperature on the survival, development and reproduction of the oriental armyworm, Mythimna separata (Walker) (Lepidoptera: Noctuidae)",10.1016/S2095-3119(17)61841-0,yes,experimental,laboratory,30,0.1024,0.0082,13,Lepidoptera,Noctuidae,Mythimna,roseilinea,chewer,Malvaceae,Poaceae,75,14,34.29937,108.48306,0.029565520458804714,17,0.018703742940919605
"Sanchez-Ramos, I; Pascual, S; Fernandez, CE; Gonzalez-Nunez, M",2017,"Reproduction, longevity and life table parameters of &ITMonosteira&IT &ITunicostata&IT (Hemiptera: Tingidae) at constant temperatures",10.5424/sjar/2017154-11442,yes,experimental,laboratory,22,0.06994,0.00207,44,Hemiptera,Tingidae,Monosteira,unicostata,sucker,Rosaceae,Salicaceae,70,16,40.4167,-3.70358,0.013730826632071353,18,0.017613886567137874
"Sanchez-Ramos, I; Pascual, S; Fernandez, CE; Gonzalez-Nunez, M",2017,"Reproduction, longevity and life table parameters of &ITMonosteira&IT &ITunicostata&IT (Hemiptera: Tingidae) at constant temperatures",10.5424/sjar/2017154-11442,yes,experimental,laboratory,25,0.11203,0.00246,40,Hemiptera,Tingidae,Monosteira,unicostata,sucker,Rosaceae,Salicaceae,70,16,40.4167,-3.70358,0.015558406088028427,18,0.017613886567137874
"Sanchez-Ramos, I; Pascual, S; Fernandez, CE; Gonzalez-Nunez, M",2017,"Reproduction, longevity and life table parameters of &ITMonosteira&IT &ITunicostata&IT (Hemiptera: Tingidae) at constant temperatures",10.5424/sjar/2017154-11442,yes,experimental,laboratory,28,0.14933,0.00175,45,Hemiptera,Tingidae,Monosteira,unicostata,sucker,Rosaceae,Salicaceae,70,16,40.4167,-3.70358,0.011739356881873896,18,0.017613886567137874
"Sanchez-Ramos, I; Pascual, S; Fernandez, CE; Gonzalez-Nunez, M",2017,"Reproduction, longevity and life table parameters of &ITMonosteira&IT &ITunicostata&IT (Hemiptera: Tingidae) at constant temperatures",10.5424/sjar/2017154-11442,yes,experimental,laboratory,31,0.1612,0.00396,40,Hemiptera,Tingidae,Monosteira,unicostata,sucker,Rosaceae,Salicaceae,70,16,40.4167,-3.70358,0.025045239068533565,18,0.017613886567137874
"Sanchez-Ramos, I; Pascual, S; Fernandez, CE; Gonzalez-Nunez, M",2017,"Reproduction, longevity and life table parameters of &ITMonosteira&IT &ITunicostata&IT (Hemiptera: Tingidae) at constant temperatures",10.5424/sjar/2017154-11442,yes,experimental,laboratory,34,0.19418,0.00311,40,Hemiptera,Tingidae,Monosteira,unicostata,sucker,Rosaceae,Salicaceae,70,16,40.4167,-3.70358,0.01966936704624732,18,0.017613886567137874
"Sanchez-Ramos, I; Pascual, S; Fernandez, CE; Gonzalez-Nunez, M",2017,"Reproduction, longevity and life table parameters of &ITMonosteira&IT &ITunicostata&IT (Hemiptera: Tingidae) at constant temperatures",10.5424/sjar/2017154-11442,yes,experimental,laboratory,37,0.14333,0.00454,40,Hemiptera,Tingidae,Monosteira,unicostata,sucker,Rosaceae,Salicaceae,70,16,40.4167,-3.70358,0.028713481154328886,18,0.017613886567137874
"Liao, QJ; Yang, YJ; Wang, J; Pang, X; Xu, CM; Peng, CL; Lu, ZX; Liu, YH",2017,"Temperature-dependent development and reproduction of rice leaffolder, Marasmia exigua (Lepidoptera: Pyralidae)",10.1371/journal.pone.0187972,yes,experimental,laboratory,20,0.017,0.006,19,Lepidoptera,Pyralidae,Marasmia,exigua,chewer,Poaceae,Poaceae,80,14,29.22335,103.59661,0.026153393661244046,19,0.03438838522549287
"Liao, QJ; Yang, YJ; Wang, J; Pang, X; Xu, CM; Peng, CL; Lu, ZX; Liu, YH",2017,"Temperature-dependent development and reproduction of rice leaffolder, Marasmia exigua (Lepidoptera: Pyralidae)",10.1371/journal.pone.0187972,yes,experimental,laboratory,25,0.094,0.005,42,Lepidoptera,Pyralidae,Marasmia,exigua,chewer,Poaceae,Poaceae,80,14,29.22335,103.59661,0.032403703492039304,19,0.03438838522549287
"Liao, QJ; Yang, YJ; Wang, J; Pang, X; Xu, CM; Peng, CL; Lu, ZX; Liu, YH",2017,"Temperature-dependent development and reproduction of rice leaffolder, Marasmia exigua (Lepidoptera: Pyralidae)",10.1371/journal.pone.0187972,yes,experimental,laboratory,27,0.096,0.007,27,Lepidoptera,Pyralidae,Marasmia,exigua,chewer,Poaceae,Poaceae,80,14,29.22335,103.59661,0.036373066958946425,19,0.03438838522549287
"Liao, QJ; Yang, YJ; Wang, J; Pang, X; Xu, CM; Peng, CL; Lu, ZX; Liu, YH",2017,"Temperature-dependent development and reproduction of rice leaffolder, Marasmia exigua (Lepidoptera: Pyralidae)",10.1371/journal.pone.0187972,yes,experimental,laboratory,30,0.02,0.015,26,Lepidoptera,Pyralidae,Marasmia,exigua,chewer,Poaceae,Poaceae,80,14,29.22335,103.59661,0.07648529270389176,19,0.03438838522549287
"Geng, S; Jung, C",2017,"Effect of temperature on the demographic parameters of Asiatic apple leafminer, Phyllonorycter ringoniella Matsumura (Lepidoptera: Gracillariidae)",10.1016/j.aspen.2017.06.009,yes,experimental,laboratory,13.3,0.025,0.0015,54,Lepidoptera,Gracillariidae,Phyllonorycter,ringoniella,leafminer,Rosaceae,Rosaceae,70,14,37.3779,126.95432,0.011022703842524302,20,0.044171484014010665
"Geng, S; Jung, C",2017,"Effect of temperature on the demographic parameters of Asiatic apple leafminer, Phyllonorycter ringoniella Matsumura (Lepidoptera: Gracillariidae)",10.1016/j.aspen.2017.06.009,yes,experimental,laboratory,15.3,0.031,0.0016,45,Lepidoptera,Gracillariidae,Phyllonorycter,ringoniella,leafminer,Rosaceae,Rosaceae,70,14,37.3779,126.95432,0.010733126291998992,20,0.044171484014010665
"Geng, S; Jung, C",2017,"Effect of temperature on the demographic parameters of Asiatic apple leafminer, Phyllonorycter ringoniella Matsumura (Lepidoptera: Gracillariidae)",10.1016/j.aspen.2017.06.009,yes,experimental,laboratory,20.7,0.065,0.0051,76,Lepidoptera,Gracillariidae,Phyllonorycter,ringoniella,leafminer,Rosaceae,Rosaceae,70,14,37.3779,126.95432,0.04446076922411488,20,0.044171484014010665
"Geng, S; Jung, C",2017,"Effect of temperature on the demographic parameters of Asiatic apple leafminer, Phyllonorycter ringoniella Matsumura (Lepidoptera: Gracillariidae)",10.1016/j.aspen.2017.06.009,yes,experimental,laboratory,26.1,0.061,0.0058,58,Lepidoptera,Gracillariidae,Phyllonorycter,ringoniella,leafminer,Rosaceae,Rosaceae,70,14,37.3779,126.95432,0.044171484014010665,20,0.044171484014010665
"Geng, S; Jung, C",2017,"Effect of temperature on the demographic parameters of Asiatic apple leafminer, Phyllonorycter ringoniella Matsumura (Lepidoptera: Gracillariidae)",10.1016/j.aspen.2017.06.009,yes,experimental,laboratory,30,0.011,0.009,68,Lepidoptera,Gracillariidae,Phyllonorycter,ringoniella,leafminer,Rosaceae,Rosaceae,70,14,37.3779,126.95432,0.07421590126111788,20,0.044171484014010665
"Qin, JY; Zhang, L; Liu, YQ; Sappington, TW; Cheng, YX; Luo, LZ; Jiang, XF",2017,"Population Projection and Development of the Mythimna loreyi (Lepidoptera: Noctuidae) as Affected by Temperature: Application of an Age-Stage, Two-Sex Life Table",10.1093/jee/tox138,yes,experimental,laboratory,18,0.058,0.0047,23,Lepidoptera,Noctuidae,Mythimna,loreyi,chewer,Poaceae,Poaceae,70,14,22.81931,108.36272,0.022540408159569782,21,0.024985195616604644
"Qin, JY; Zhang, L; Liu, YQ; Sappington, TW; Cheng, YX; Luo, LZ; Jiang, XF",2017,"Population Projection and Development of the Mythimna loreyi (Lepidoptera: Noctuidae) as Affected by Temperature: Application of an Age-Stage, Two-Sex Life Table",10.1093/jee/tox138,yes,experimental,laboratory,21,0.071,0.0049,26,Lepidoptera,Noctuidae,Mythimna,loreyi,chewer,Poaceae,Poaceae,70,14,22.81931,108.36272,0.024985195616604644,21,0.024985195616604644
"Qin, JY; Zhang, L; Liu, YQ; Sappington, TW; Cheng, YX; Luo, LZ; Jiang, XF",2017,"Population Projection and Development of the Mythimna loreyi (Lepidoptera: Noctuidae) as Affected by Temperature: Application of an Age-Stage, Two-Sex Life Table",10.1093/jee/tox138,yes,experimental,laboratory,24,0.104,0.0062,28,Lepidoptera,Noctuidae,Mythimna,loreyi,chewer,Poaceae,Poaceae,70,14,22.81931,108.36272,0.03280731625720092,21,0.024985195616604644
"Qin, JY; Zhang, L; Liu, YQ; Sappington, TW; Cheng, YX; Luo, LZ; Jiang, XF",2017,"Population Projection and Development of the Mythimna loreyi (Lepidoptera: Noctuidae) as Affected by Temperature: Application of an Age-Stage, Two-Sex Life Table",10.1093/jee/tox138,yes,experimental,laboratory,27,0.122,0.0015,23,Lepidoptera,Noctuidae,Mythimna,loreyi,chewer,Poaceae,Poaceae,70,14,22.81931,108.36272,0.007193747284969079,21,0.024985195616604644
"Qin, JY; Zhang, L; Liu, YQ; Sappington, TW; Cheng, YX; Luo, LZ; Jiang, XF",2017,"Population Projection and Development of the Mythimna loreyi (Lepidoptera: Noctuidae) as Affected by Temperature: Application of an Age-Stage, Two-Sex Life Table",10.1093/jee/tox138,yes,experimental,laboratory,30,0.155,0.0098,20,Lepidoptera,Noctuidae,Mythimna,loreyi,chewer,Poaceae,Poaceae,70,14,22.81931,108.36272,0.04382693235899588,21,0.024985195616604644
"Ngowi, BV; Tonnang, HEZ; Mwangi, EM; Johansson, T; Ambale, J; Ndegwa, PN; Subramanian, S",2017,Temperature-dependent phenology of Plutella xylostella (Lepidoptera: Plutellidae): Simulation and visualization of current and future distributions along the Eastern Afromontane,10.1371/journal.pone.0173590,yes,experimental,laboratory,10,0.01,0.001,50,Lepidoptera,Plutellidae,Plutella,xylostella,chewer,Brassicaceae,Brassicaceae,70,12,-3.51239,38.25022,0.007071067811865475,22,0.007071067811865475
"Ngowi, BV; Tonnang, HEZ; Mwangi, EM; Johansson, T; Ambale, J; Ndegwa, PN; Subramanian, S",2017,Temperature-dependent phenology of Plutella xylostella (Lepidoptera: Plutellidae): Simulation and visualization of current and future distributions along the Eastern Afromontane,10.1371/journal.pone.0173590,yes,experimental,laboratory,15,0.07,0.001,50,Lepidoptera,Plutellidae,Plutella,xylostella,chewer,Brassicaceae,Brassicaceae,70,12,-3.51239,38.25022,0.007071067811865475,22,0.007071067811865475
"Ngowi, BV; Tonnang, HEZ; Mwangi, EM; Johansson, T; Ambale, J; Ndegwa, PN; Subramanian, S",2017,Temperature-dependent phenology of Plutella xylostella (Lepidoptera: Plutellidae): Simulation and visualization of current and future distributions along the Eastern Afromontane,10.1371/journal.pone.0173590,yes,experimental,laboratory,20,0.13,0.001,50,Lepidoptera,Plutellidae,Plutella,xylostella,chewer,Brassicaceae,Brassicaceae,70,12,-3.51239,38.25022,0.007071067811865475,22,0.007071067811865475
"Ngowi, BV; Tonnang, HEZ; Mwangi, EM; Johansson, T; Ambale, J; Ndegwa, PN; Subramanian, S",2017,Temperature-dependent phenology of Plutella xylostella (Lepidoptera: Plutellidae): Simulation and visualization of current and future distributions along the Eastern Afromontane,10.1371/journal.pone.0173590,yes,experimental,laboratory,25,0.21,0.002,50,Lepidoptera,Plutellidae,Plutella,xylostella,chewer,Brassicaceae,Brassicaceae,70,12,-3.51239,38.25022,0.01414213562373095,22,0.007071067811865475
"Ngowi, BV; Tonnang, HEZ; Mwangi, EM; Johansson, T; Ambale, J; Ndegwa, PN; Subramanian, S",2017,Temperature-dependent phenology of Plutella xylostella (Lepidoptera: Plutellidae): Simulation and visualization of current and future distributions along the Eastern Afromontane,10.1371/journal.pone.0173590,yes,experimental,laboratory,30,0.2,0.004,50,Lepidoptera,Plutellidae,Plutella,xylostella,chewer,Brassicaceae,Brassicaceae,70,12,-3.51239,38.25022,0.0282842712474619,22,0.007071067811865475
"Guo, TT; Li, LL; Men, XY; Lu, ZB; Chen, H; Wang, ZY; Sun, TL; Yu, Y",2017,Impact of Temperature on the Growth and Development of Athetis dissimilis (Lepidoptera: Noctuidae),10.1093/jee/tow229,yes,experimental,laboratory,17,0.0435,0.0015,33,Lepidoptera,Noctuidae,Athetis,dissimilis,chewer,Amaryllidaceae,Brassicaceae,70,16,36,119,0.008616843969807043,23,0.0186
"Guo, TT; Li, LL; Men, XY; Lu, ZB; Chen, H; Wang, ZY; Sun, TL; Yu, Y",2017,Impact of Temperature on the Growth and Development of Athetis dissimilis (Lepidoptera: Noctuidae),10.1093/jee/tow229,yes,experimental,laboratory,21,0.0573,0.0018,35,Lepidoptera,Noctuidae,Athetis,dissimilis,chewer,Amaryllidaceae,Brassicaceae,70,16,36,119,0.010648943609579308,23,0.0186
"Guo, TT; Li, LL; Men, XY; Lu, ZB; Chen, H; Wang, ZY; Sun, TL; Yu, Y",2017,Impact of Temperature on the Growth and Development of Athetis dissimilis (Lepidoptera: Noctuidae),10.1093/jee/tow229,yes,experimental,laboratory,25,0.1052,0.0031,36,Lepidoptera,Noctuidae,Athetis,dissimilis,chewer,Amaryllidaceae,Brassicaceae,70,16,36,119,0.0186,23,0.0186
"Guo, TT; Li, LL; Men, XY; Lu, ZB; Chen, H; Wang, ZY; Sun, TL; Yu, Y",2017,Impact of Temperature on the Growth and Development of Athetis dissimilis (Lepidoptera: Noctuidae),10.1093/jee/tow229,yes,experimental,laboratory,29,0.0832,0.0045,34,Lepidoptera,Noctuidae,Athetis,dissimilis,chewer,Amaryllidaceae,Brassicaceae,70,16,36,119,0.026239283526803853,23,0.0186
"Guo, TT; Li, LL; Men, XY; Lu, ZB; Chen, H; Wang, ZY; Sun, TL; Yu, Y",2017,Impact of Temperature on the Growth and Development of Athetis dissimilis (Lepidoptera: Noctuidae),10.1093/jee/tow229,yes,experimental,laboratory,33,0.0626,0.004,33,Lepidoptera,Noctuidae,Athetis,dissimilis,chewer,Amaryllidaceae,Brassicaceae,70,16,36,119,0.022978250586152115,23,0.0186
"Jiang, HX; Zhang, XC; Niu, SH; Feng, JN",2016,"Effects of temperature on the development, reproduction and population growth of Anaphothrips obscurus (Thysanoptera: Thripidae)",10.1016/j.aspen.2016.10.011,yes,experimental,laboratory,15,0.062,0.001,35,Thysanoptera,Thripidae,Anaphothrips,obscurus,sucker,Poaceae,Poaceae,60,16,-37.8204,145.00252,0.005916079783099616,24,0.0071414284285428505
"Jiang, HX; Zhang, XC; Niu, SH; Feng, JN",2016,"Effects of temperature on the development, reproduction and population growth of Anaphothrips obscurus (Thysanoptera: Thripidae)",10.1016/j.aspen.2016.10.011,yes,experimental,laboratory,20,0.113,0.001,51,Thysanoptera,Thripidae,Anaphothrips,obscurus,sucker,Poaceae,Poaceae,60,16,-37.8204,145.00252,0.0071414284285428505,24,0.0071414284285428505
"Jiang, HX; Zhang, XC; Niu, SH; Feng, JN",2016,"Effects of temperature on the development, reproduction and population growth of Anaphothrips obscurus (Thysanoptera: Thripidae)",10.1016/j.aspen.2016.10.011,yes,experimental,laboratory,25,0.184,0.001,47,Thysanoptera,Thripidae,Anaphothrips,obscurus,sucker,Poaceae,Poaceae,60,16,-37.8204,145.00252,0.006855654600401044,24,0.0071414284285428505
"Jiang, HX; Zhang, XC; Niu, SH; Feng, JN",2016,"Effects of temperature on the development, reproduction and population growth of Anaphothrips obscurus (Thysanoptera: Thripidae)",10.1016/j.aspen.2016.10.011,yes,experimental,laboratory,30,0.239,0.005,42,Thysanoptera,Thripidae,Anaphothrips,obscurus,sucker,Poaceae,Poaceae,60,16,-37.8204,145.00252,0.032403703492039304,24,0.0071414284285428505
"Jiang, HX; Zhang, XC; Niu, SH; Feng, JN",2016,"Effects of temperature on the development, reproduction and population growth of Anaphothrips obscurus (Thysanoptera: Thripidae)",10.1016/j.aspen.2016.10.011,yes,experimental,laboratory,32,0.25,0.002,51,Thysanoptera,Thripidae,Anaphothrips,obscurus,sucker,Poaceae,Poaceae,60,16,-37.8204,145.00252,0.014282856857085701,24,0.0071414284285428505
"Chi, BJ; Zheng, X; Liang, XC; Liu, Y",2016,"Temperature-dependent demography of Agriphila aeneociliella (Lepidoptera: Crambidae), a new insect pest of wheat in China",10.1111/afe.12151,yes,experimental,laboratory,18,0.03,0.001,40,Lepidoptera,Crambidae,Agriphila,aeneociliella,borer,Poaceae,Poaceae,70,14,37.1823,119.93251,0.006324555320336759,25,0.0075
"Chi, BJ; Zheng, X; Liang, XC; Liu, Y",2016,"Temperature-dependent demography of Agriphila aeneociliella (Lepidoptera: Crambidae), a new insect pest of wheat in China",10.1111/afe.12151,yes,experimental,laboratory,20,0.03,0.0013,28,Lepidoptera,Crambidae,Agriphila,aeneociliella,borer,Poaceae,Poaceae,70,14,37.1823,119.93251,0.0068789534087679354,25,0.0075
"Chi, BJ; Zheng, X; Liang, XC; Liu, Y",2016,"Temperature-dependent demography of Agriphila aeneociliella (Lepidoptera: Crambidae), a new insect pest of wheat in China",10.1111/afe.12151,yes,experimental,laboratory,23,0.0368,0.0012,40,Lepidoptera,Crambidae,Agriphila,aeneociliella,borer,Poaceae,Poaceae,70,14,37.1823,119.93251,0.0075894663844041105,25,0.0075
"Chi, BJ; Zheng, X; Liang, XC; Liu, Y",2016,"Temperature-dependent demography of Agriphila aeneociliella (Lepidoptera: Crambidae), a new insect pest of wheat in China",10.1111/afe.12151,yes,experimental,laboratory,25,0.0353,0.0015,25,Lepidoptera,Crambidae,Agriphila,aeneociliella,borer,Poaceae,Poaceae,70,14,37.1823,119.93251,0.0075,25,0.0075
"Chi, BJ; Zheng, X; Liang, XC; Liu, Y",2016,"Temperature-dependent demography of Agriphila aeneociliella (Lepidoptera: Crambidae), a new insect pest of wheat in China",10.1111/afe.12151,yes,experimental,laboratory,27,0.0293,0.0017,21,Lepidoptera,Crambidae,Agriphila,aeneociliella,borer,Poaceae,Poaceae,70,14,37.1823,119.93251,0.0077903786814249275,25,0.0075
"Basirat, M; Golizadeh, A; Fathi, SAA; Hassanpour, M",2015,"Demography of pistachio fruit hull borer moth, Arimania komaroffi (Lepidoptera: Pyralidae) under different constant temperatures",10.1016/j.aspen.2015.06.007,yes,experimental,laboratory,25,0.032,0.005,61,Lepidoptera,Pyralidae,Arimania,komaroffi,borer,Anacardiaceae,Anacardiaceae,65,16,30.40218,55.99418,0.03905124837953327,26,0.03216484884953118
"Basirat, M; Golizadeh, A; Fathi, SAA; Hassanpour, M",2015,"Demography of pistachio fruit hull borer moth, Arimania komaroffi (Lepidoptera: Pyralidae) under different constant temperatures",10.1016/j.aspen.2015.06.007,yes,experimental,laboratory,27.5,0.052,0.003,71,Lepidoptera,Pyralidae,Arimania,komaroffi,borer,Anacardiaceae,Anacardiaceae,65,16,30.40218,55.99418,0.025278449319529078,26,0.03216484884953118
"Basirat, M; Golizadeh, A; Fathi, SAA; Hassanpour, M",2015,"Demography of pistachio fruit hull borer moth, Arimania komaroffi (Lepidoptera: Pyralidae) under different constant temperatures",10.1016/j.aspen.2015.06.007,yes,experimental,laboratory,30,0.056,0.002,75,Lepidoptera,Pyralidae,Arimania,komaroffi,borer,Anacardiaceae,Anacardiaceae,65,16,30.40218,55.99418,0.017320508075688777,26,0.03216484884953118
"Basirat, M; Golizadeh, A; Fathi, SAA; Hassanpour, M",2015,"Demography of pistachio fruit hull borer moth, Arimania komaroffi (Lepidoptera: Pyralidae) under different constant temperatures",10.1016/j.aspen.2015.06.007,yes,experimental,laboratory,32.5,0.028,0.009,32,Lepidoptera,Pyralidae,Arimania,komaroffi,borer,Anacardiaceae,Anacardiaceae,65,16,30.40218,55.99418,0.05091168824543142,26,0.03216484884953118
"Chen, HS; Yang, L; Huang, LF; Wang, WL; Hu, Y; Jiang, JJ; Zhou, ZS",2015,Temperature-and Relative Humidity-Dependent Life History Traits of Phenacoccus solenopsis (Hemiptera: Pseudococcidae) on Hibiscus rosa-sinensis (Malvales: Malvaceae),10.1093/ee/nvv085,yes,experimental,laboratory,20,0.056666666666666664,0.001,10,Hemiptera,Pseudococcidae,Phenacoccus,solenopsis,sucker,Malvaceae,Malvaceae,60,14,22.81931,108.36272,0.0031622776601683794,27,0.01264911064067352
"Chen, HS; Yang, L; Huang, LF; Wang, WL; Hu, Y; Jiang, JJ; Zhou, ZS",2015,Temperature-and Relative Humidity-Dependent Life History Traits of Phenacoccus solenopsis (Hemiptera: Pseudococcidae) on Hibiscus rosa-sinensis (Malvales: Malvaceae),10.1093/ee/nvv085,yes,experimental,laboratory,25,0.14666666666666667,0.001,10,Hemiptera,Pseudococcidae,Phenacoccus,solenopsis,sucker,Malvaceae,Malvaceae,60,14,22.81931,108.36272,0.0031622776601683794,27,0.01264911064067352
"Chen, HS; Yang, L; Huang, LF; Wang, WL; Hu, Y; Jiang, JJ; Zhou, ZS",2015,Temperature-and Relative Humidity-Dependent Life History Traits of Phenacoccus solenopsis (Hemiptera: Pseudococcidae) on Hibiscus rosa-sinensis (Malvales: Malvaceae),10.1093/ee/nvv085,yes,experimental,laboratory,27.5,0.19333333333333333,0.01,10,Hemiptera,Pseudococcidae,Phenacoccus,solenopsis,sucker,Malvaceae,Malvaceae,60,14,22.81931,108.36272,0.0316227766016838,27,0.01264911064067352
"Chen, HS; Yang, L; Huang, LF; Wang, WL; Hu, Y; Jiang, JJ; Zhou, ZS",2015,Temperature-and Relative Humidity-Dependent Life History Traits of Phenacoccus solenopsis (Hemiptera: Pseudococcidae) on Hibiscus rosa-sinensis (Malvales: Malvaceae),10.1093/ee/nvv085,yes,experimental,laboratory,30,0.16,0.004,10,Hemiptera,Pseudococcidae,Phenacoccus,solenopsis,sucker,Malvaceae,Malvaceae,60,14,22.81931,108.36272,0.01264911064067352,27,0.01264911064067352
"Chen, HS; Yang, L; Huang, LF; Wang, WL; Hu, Y; Jiang, JJ; Zhou, ZS",2015,Temperature-and Relative Humidity-Dependent Life History Traits of Phenacoccus solenopsis (Hemiptera: Pseudococcidae) on Hibiscus rosa-sinensis (Malvales: Malvaceae),10.1093/ee/nvv085,yes,experimental,laboratory,32.5,0.14,0.01,10,Hemiptera,Pseudococcidae,Phenacoccus,solenopsis,sucker,Malvaceae,Malvaceae,60,14,22.81931,108.36272,0.0316227766016838,27,0.01264911064067352
"Khadioli, N; Tonnang, ZEH; Muchugu, E; Ong'amo, G; Achia, T; Kipchirchir, I; Kroschel, J; Le Ru, B",2014,"Effect of temperature on the phenology of Chilo partellus (Swinhoe) (Lepidoptera, Crambidae); simulation and visualization of the potential future distribution of C. partellus in Africa under warmer temperatures through the development of life-table parameters",10.1017/S0007485314000601,yes,experimental,laboratory,18,0.02,0.002,56,Lepidoptera,Crambidae,Chilo,partellus,borer,Poaceae,Artificial,75,12,-2.40199,39.78187,0.014966629547095765,28,0.0229895005926642
"Khadioli, N; Tonnang, ZEH; Muchugu, E; Ong'amo, G; Achia, T; Kipchirchir, I; Kroschel, J; Le Ru, B",2014,"Effect of temperature on the phenology of Chilo partellus (Swinhoe) (Lepidoptera, Crambidae); simulation and visualization of the potential future distribution of C. partellus in Africa under warmer temperatures through the development of life-table parameters",10.1017/S0007485314000601,yes,experimental,laboratory,20,0.04,0.003,46,Lepidoptera,Crambidae,Chilo,partellus,borer,Poaceae,Artificial,75,12,-2.40199,39.78187,0.020346989949375806,28,0.0229895005926642
